id,CON_DS2U,CON_H9,CON_IMR,DS_2DS3,DS_DSP
AC104689.2,13.0,18.0,45.0,48.0,23.0
LINC02232,143.0,125.0,362.0,162.0,198.0
LINC02835,4.0,4.0,0.0,9.0,0.0
EPHA5,20305.0,10929.0,16376.0,10629.0,9053.0
EPHA5-AS1,1525.0,1151.0,1531.0,718.0,966.0
AC104137.1,10.0,9.0,8.0,6.0,3.0
AC097110.1,1.0,1.0,0.0,0.0,0.0
AC116049.2,975.0,1917.0,630.0,751.0,1967.0
AC096721.1,1.0,1.0,0.0,0.0,0.0
AC110809.1,69.0,169.0,66.0,50.0,171.0
AC104806.2,903.0,1122.0,891.0,1218.0,682.0
CENPC,3346.0,2572.0,3224.0,2638.0,3125.0
STAP1,8.0,24.0,11.0,12.0,5.0
UBA6,6204.0,6383.0,6879.0,7514.0,6364.0
UBA6-AS1,5619.0,6776.0,6825.0,7223.0,8194.0
GNRHR,51.0,94.0,78.0,58.0,96.0
TMPRSS11D,166.0,272.0,208.0,220.0,274.0
TMPRSS11A,115.0,235.0,298.0,244.0,174.0
TMPRSS11F,16.0,38.0,22.0,30.0,26.0
TMPRSS11B,0.0,3.0,3.0,0.0,0.0
YTHDC1,6482.0,7871.0,7184.0,6449.0,7058.0
TMPRSS11E,1.0,1.0,0.0,1.0,1.0
UGT2B17,4.0,0.0,0.0,1.0,0.0
UGT2B15,1.0,3.0,1.0,0.0,0.0
UGT2B10,0.0,0.0,0.0,0.0,1.0
AC021146.12,1.0,0.0,0.0,0.0,0.0
UGT2A3,0.0,0.0,0.0,0.0,0.0
UGT2B7,4.0,9.0,8.0,6.0,11.0
AC111000.4,0.0,1.0,2.0,1.0,0.0
UGT2B11,0.0,1.0,0.0,0.0,1.0
UGT2B28,0.0,0.0,0.0,0.0,0.0
UGT2B4,1.0,4.0,2.0,1.0,2.0
UGT2A1,3.0,0.0,1.0,1.0,3.0
UGT2A2,0.0,0.0,0.0,0.0,0.0
SULT1B1,7.0,5.0,3.0,1.0,3.0
SULT1E1,276.0,2.0,153.0,2.0,23.0
CSN1S1,1.0,0.0,0.0,0.0,0.0
CSN2,0.0,0.0,0.0,0.0,0.0
STATH,0.0,0.0,0.0,1.0,0.0
HTN3,0.0,0.0,0.0,0.0,0.0
HTN1,0.0,0.0,0.0,2.0,1.0
PRR27,1.0,0.0,0.0,0.0,1.0
ODAM,0.0,0.0,0.0,0.0,0.0
FDCSP,1.0,0.0,0.0,0.0,2.0
CSN3,0.0,0.0,0.0,0.0,0.0
CABS1,5.0,3.0,8.0,1.0,0.0
SMR3A,0.0,0.0,0.0,0.0,0.0
SMR3B,4.0,1.0,4.0,0.0,2.0
OPRPN,0.0,0.0,0.0,0.0,0.0
MUC7,2.0,2.0,2.0,0.0,1.0
AMTN,0.0,0.0,1.0,0.0,0.0
AMBN,2756.0,864.0,1881.0,371.0,2188.0
